NP_001288811.1 NP_186887.1
XP_009113614.1 NP_192783.1
XP_009113615.1 NP_001078368.1
XP_009113616.1 NP_001078369.1
XP_009113617.1 NP_192787.1
XP_009113619.1 NP_192799.1
XP_009113622.1 NP_567364.1
XP_009113634.1 NP_174196.2
XP_009113637.1 NP_174189.1
XP_009113642.2 NP_180304.1
XP_009113644.3 NP_181393.1
XP_009113647.1 NP_174177.1
XP_009113650.1 NP_001077618.1
XP_009113660.1 NP_564309.1
XP_009113662.1 NP_174164.2
XP_009113664.1 NP_001319099.1
XP_009113666.2 NP_174162.1
XP_009113672.1 NP_566590.1
XP_009113673.1 NP_174156.1
XP_009113675.2 NP_564305.1
XP_009113677.1 NP_174153.2
XP_009113684.1 NP_174147.1
XP_009113687.1 NP_564302.1
XP_009113695.1 NP_174140.1
XP_009113699.2 NP_188412.2
XP_009113704.1 NP_174130.2
XP_009113706.2 NP_198078.1
XP_009113711.2 NP_566589.1
XP_009113712.2 NP_001319094.1
XP_009113715.1 NP_174121.2
XP_009113717.1 NP_174120.1
XP_009113726.1 NP_564297.1
XP_009113727.1 NP_174113.2
XP_009113729.1 NP_174106.1
XP_009113732.1 NP_973923.1
XP_009113734.1 NP_174096.3
XP_009113736.1 NP_174094.1
XP_009113737.1 NP_001077610.1
XP_009113743.1 NP_174089.1
XP_009113753.1 NP_564527.1
XP_009113757.1 NP_564288.1
XP_009113759.1 NP_174070.1
XP_009113761.1 NP_001117365.1
XP_009113764.1 NP_174059.2
XP_009113773.2 NP_001154621.1
XP_009113777.1 NP_564278.1
XP_009113779.2 NP_564275.1
XP_009113781.2 NP_567964.1
XP_009113782.2 NP_564214.2
XP_009113783.2 NP_850953.1
XP_009113790.1 NP_564216.1
XP_009113791.1 NP_564217.1
XP_009113794.1 NP_001319075.1
XP_009113795.1 NP_564218.1
XP_009113796.1 NP_173854.1
XP_009113797.1 NP_173855.5
XP_009113807.2 NP_564219.1
XP_009113810.1 NP_173862.1
XP_009113812.2 NP_173863.2
XP_009113820.1 NP_001321099.1
XP_009113822.1 NP_566585.1
XP_009113829.2 NP_173873.5
XP_009113839.1 NP_001078171.1
XP_009113853.1 NP_188393.2
XP_009113858.2 NP_175312.1
XP_009113860.2 NP_199351.2
XP_009113864.2 NP_001330972.1
XP_009113865.1 NP_568643.1
XP_009113867.1 NP_851136.1
XP_009113868.1 NP_199346.1
XP_009113869.1 NP_001330291.1
XP_009113877.1 NP_199326.1
XP_009113881.1 NP_199313.3
XP_009113882.2 NP_001327477.1
XP_009113885.1 NP_199304.1
XP_009113887.2 NP_198430.1
XP_009113890.1 NP_199293.3
XP_009113905.2 NP_850606.1
XP_009113912.1 NP_199258.4
XP_009113913.1 NP_199254.1
XP_009113914.2 NP_199252.1
XP_009113917.2 NP_199253.1
XP_009113921.1 NP_849630.3
XP_009113924.1 NP_199248.1
XP_009113928.1 NP_199244.1
XP_009113930.1 NP_001032009.1
XP_009113931.1 NP_683576.2
XP_009113932.1 NP_199239.1
XP_009113933.2 NP_199236.1
XP_009113934.1 NP_199238.1
XP_009113937.1 NP_199230.1
XP_009113940.1 NP_199226.1
XP_009113941.1 NP_199224.1
XP_009113946.1 NP_001328777.1
XP_009113948.1 NP_195155.1
XP_009113951.1 NP_199222.1
XP_009113955.1 NP_199215.1
XP_009113959.1 NP_199210.1
XP_009113968.1 NP_199205.1
XP_009113970.1 NP_001118270.1
XP_009113973.2 NP_196686.1
XP_009113978.2 NP_568630.1
XP_009113979.1 NP_199196.1
XP_009113982.2 NP_199183.1
XP_009113983.1 NP_199178.1
XP_009113985.1 NP_171929.1
XP_009113986.1 NP_199156.1
XP_009113988.2 NP_001326974.1
XP_009113999.1 NP_188372.1
XP_009114001.1 NP_171936.1
XP_009114004.1 NP_199142.1
XP_009114005.3 NP_199143.1
XP_009114011.2 NP_199137.2
XP_009114012.1 NP_568622.1
XP_009114013.1 NP_199125.2
XP_009114014.1 NP_199119.1
XP_009114015.2 NP_568619.1
XP_009114017.1 NP_199109.1
XP_009114026.1 NP_200286.1
XP_009114029.1 NP_199103.1
XP_009114030.1 NP_188368.2
XP_009114031.1 NP_001190457.1
XP_009114032.1 NP_199100.1
XP_009114033.1 NP_199096.1
XP_009114034.1 NP_568613.1
XP_009114035.1 NP_199094.1
XP_009114037.1 NP_680381.1
XP_009114039.1 NP_199092.1
XP_009114040.1 NP_568612.1
XP_009114042.1 NP_001332180.1
XP_009114047.1 NP_199085.1
XP_009114049.1 NP_175180.1
XP_009114050.1 NP_001078694.1
XP_009114051.1 NP_199083.2
XP_009114053.1 NP_195157.2
XP_009114054.1 NP_001318732.1
XP_009114060.1 NP_001326779.1
XP_009114068.1 NP_188365.1
XP_009114089.1 NP_566574.1
XP_009114095.1 NP_189243.1
XP_009114097.1 NP_001326163.1
XP_009114098.1 NP_195693.1
XP_009114100.1 NP_189233.1
XP_009114102.2 NP_189227.1
XP_009114103.1 NP_189221.1
XP_009114107.1 NP_189215.1
XP_009114109.1 NP_566779.1
XP_009114114.1 NP_566777.1
XP_009114116.1 NP_850631.2
XP_009114117.1 NP_566775.2
XP_009114120.1 NP_189194.1
XP_009114123.1 NP_199566.1
XP_009114133.1 NP_178473.2
XP_009114141.1 NP_001323815.1
XP_009114143.1 NP_001154491.1
XP_009114145.1 NP_178463.1
XP_009114146.1 NP_193032.1
XP_009114152.1 NP_178450.2
XP_009114153.1 NP_027545.1
XP_009114155.1 NP_178442.2
XP_009114156.1 NP_178440.1
XP_009114157.2 NP_565301.1
XP_009114159.1 NP_187787.1
XP_009114160.1 NP_178430.2
XP_009114164.1 NP_001319572.1
XP_009114168.1 NP_195644.1
XP_009114171.1 NP_178423.5
XP_009114175.2 NP_188306.2
XP_009114177.1 NP_178414.2
XP_009114178.1 NP_190299.2
XP_009114188.2 NP_001324494.1
XP_009114191.1 NP_178378.1
XP_009114193.1 NP_001326753.1
XP_009114194.1 NP_001324283.1
XP_009114195.1 NP_178363.1
XP_009114196.1 NP_001189502.1
XP_009114197.1 NP_565284.3
XP_009114203.1 NP_001189499.1
XP_009114205.1 NP_188311.1
XP_009114207.1 NP_178318.1
XP_009114213.1 NP_176411.2
XP_009114215.1 NP_188312.1
XP_009114217.2 NP_178307.2
XP_009114218.1 NP_178303.2
XP_009114220.1 NP_178283.1
XP_009114221.1 NP_176653.1
XP_009114223.1 NP_188314.1
XP_009114224.1 NP_565275.1
XP_009114228.2 NP_178266.1
XP_009114229.1 NP_188315.1
XP_009114238.1 NP_188322.1
XP_009114241.1 NP_178103.1
XP_009114242.1 NP_178250.1
XP_009114244.1 NP_178242.3
XP_009114248.1 NP_001318171.1
XP_009114250.1 NP_199587.1
XP_009114251.1 NP_001330995.1
XP_009114254.1 NP_199583.1
XP_009114257.1 NP_199579.1
XP_009114264.1 NP_566563.1
XP_009114266.2 NP_568684.1
XP_009114268.1 NP_199567.1
XP_009114273.1 NP_199563.1
XP_009114279.2 NP_199559.1
XP_009114280.1 NP_199554.2
XP_009114282.1 NP_001331656.1
XP_009114285.1 NP_188328.5
XP_009114288.1 NP_568678.1
XP_009114289.1 NP_568677.1
XP_009114298.1 NP_195154.2
XP_009114309.1 NP_199514.1
XP_009114317.1 NP_001318750.1
XP_009114322.1 NP_566566.1
XP_009114323.2 NP_199495.1
XP_009114331.1 NP_566567.1
XP_009114334.1 NP_199482.1
XP_009114354.1 NP_974893.1
XP_009114359.1 NP_199449.1
XP_009114361.1 NP_001330009.1
XP_009114368.2 NP_568659.1
XP_009114373.1 NP_199428.3
XP_009114377.1 NP_568657.1
XP_009114384.1 NP_199417.1
XP_009114388.2 NP_566772.1
XP_009114390.2 NP_568648.1
XP_009114391.1 NP_199389.1
XP_009114392.1 NP_199386.2
XP_009114394.1 NP_199384.2
XP_009114395.1 NP_001331800.1
XP_009114397.1 NP_199380.1
XP_009114399.1 NP_001318744.1
XP_009114402.1 NP_199369.2
XP_009114403.1 NP_199368.1
XP_009114405.1 NP_001190473.1
XP_009114410.1 NP_001078717.1
XP_009114415.1 NP_566568.1
XP_009114428.1 NP_188343.1
XP_009114452.1 NP_001319574.1
XP_009114481.1 NP_192451.1
XP_009114483.1 NP_001031586.1
XP_009114485.1 NP_567293.1
XP_009114486.1 NP_001319874.1
XP_009114487.1 NP_001328044.1
XP_009114490.1 NP_188348.1
XP_009114492.1 NP_192432.1
XP_009114493.1 NP_192431.1
XP_009114494.1 NP_001328366.1
XP_009114495.1 NP_192428.2
XP_009114497.1 NP_001319873.1
XP_009114498.3 NP_001319872.1
XP_009114499.2 NP_192425.1
XP_009114501.1 NP_192422.1
XP_009114502.1 NP_001329797.1
XP_009114510.1 NP_192419.1
XP_009114511.1 NP_192418.1
XP_009114513.1 NP_567288.1
XP_009114514.1 NP_567287.1
XP_009114515.1 NP_567283.1
XP_009114516.1 NP_567282.1
XP_009114517.2 NP_851004.1
XP_009114518.1 NP_001328317.1
XP_009114519.2 NP_567280.1
XP_009114521.1 NP_001190677.1
XP_009114523.1 NP_567278.1
XP_009114524.2 NP_567277.1
XP_009114525.1 NP_567276.1
XP_009114530.1 NP_192402.1
XP_009114533.1 NP_192400.2
XP_009114536.1 NP_001329475.1
XP_009114539.1 NP_680598.2
XP_009114540.1 NP_192397.2
XP_009114541.1 NP_001190675.1
XP_009114542.1 NP_192395.1
XP_009114543.1 NP_567273.1
XP_009114544.1 NP_567271.1
XP_009114546.1 NP_192387.2
XP_009114550.1 NP_192386.1
XP_009114551.1 NP_001329030.1
XP_009114553.1 NP_001329214.1
XP_009114554.1 NP_567265.1
XP_009114555.1 NP_567264.1
XP_009114558.2 NP_001031583.1
XP_009114561.1 NP_192367.1
XP_009114567.1 NP_188293.2
XP_009114570.2 NP_192357.1
XP_009114571.1 NP_192355.1
XP_009114574.1 NP_001319865.1
XP_009114575.2 NP_192354.1
XP_009114576.1 NP_192345.4
XP_009114577.1 NP_192346.1
XP_009114578.1 NP_189112.1
XP_009114580.1 NP_567263.1
XP_009114581.1 NP_567262.1
XP_009114582.1 NP_192328.2
XP_009114584.1 NP_001319863.1
XP_009114585.1 NP_192317.1
XP_009114586.1 NP_192313.3
XP_009114588.2 NP_192311.1
XP_009114589.1 NP_567261.1
XP_009114591.1 NP_001328063.1
XP_009114592.1 NP_567299.2
XP_009114597.1 NP_567300.1
XP_009114601.1 NP_567306.1
XP_009114605.1 NP_192999.1
XP_009114606.3 NP_192363.1
XP_009114608.1 NP_194816.2
XP_009114610.2 NP_197516.1
XP_009114612.1 NP_188292.1
XP_009114614.1 NP_192994.1
XP_009114616.1 NP_001328247.1
XP_009114620.1 NP_188291.3
XP_009114625.1 NP_001117529.1
XP_009114627.1 NP_567389.1
XP_009114631.2 NP_188288.2
XP_009114632.3 NP_192444.1
XP_009114636.1 NP_567388.1
XP_009114638.2 NP_567387.1
XP_009114639.2 NP_567386.1
XP_009114644.3 NP_001329654.1
XP_009114647.1 NP_001329609.1
XP_009114648.1 NP_192936.2
XP_009114650.1 NP_567384.1
XP_009114651.1 NP_192932.1
XP_009114652.1 NP_192929.2
XP_009114655.1 NP_001319907.1
XP_009114659.1 NP_567383.1
XP_009114660.1 NP_188285.1
XP_009114674.1 NP_188283.1
XP_009114694.1 NP_188271.1
XP_009114698.1 NP_849978.2
XP_009114699.1 NP_179449.5
XP_009114700.1 NP_179452.1
XP_009114701.1 NP_179453.2
XP_009114707.1 NP_849979.1
XP_009114714.2 NP_973963.1
XP_009114716.1 NP_564458.1
XP_009114719.1 NP_174767.2
XP_009114721.1 NP_564453.1
XP_009114722.1 NP_174737.2
XP_009114725.1 NP_174726.1
XP_009114730.1 NP_564448.1
XP_009114731.1 NP_174715.2
XP_009114732.1 NP_195152.2
XP_009114734.1 NP_174703.1
XP_009114735.1 NP_001117409.1
XP_009114737.1 NP_174694.2
XP_009114739.1 NP_001322690.1
XP_009114742.1 NP_174690.1
XP_009114744.1 NP_564443.1
XP_009114745.1 NP_188267.1
XP_009114746.1 NP_001319143.1
XP_009114748.1 NP_564442.1
XP_009114749.1 NP_001322303.1
XP_009114750.1 NP_564441.1
XP_009114752.2 NP_564440.1
XP_009114753.1 NP_174678.2
XP_009114756.2 NP_174675.2
XP_009114771.1 NP_001321551.1
XP_009114773.1 NP_001323388.1
XP_009114774.1 NP_564432.3
XP_009114782.1 NP_564429.1
XP_009114785.1 NP_174637.1
XP_009114786.1 NP_174638.2
XP_009114788.1 NP_001031135.1
XP_009114789.1 NP_174629.3
XP_009114790.1 NP_001323401.1
XP_009114791.1 NP_564425.1
XP_009114792.2 NP_174614.2
XP_009114794.1 NP_001030709.1
XP_009114795.1 NP_174610.2
XP_009114796.2 NP_001319132.1
XP_009114797.1 NP_174602.1
XP_009114799.2 NP_564423.3
XP_009114800.2 NP_001323298.1
XP_009114808.2 NP_174599.1
XP_009114809.1 NP_001321305.1
XP_009114810.1 NP_566543.1
XP_009114819.1 NP_188246.1
XP_009114832.1 NP_188243.2
XP_009114843.1 NP_174575.1
XP_009114845.2 NP_564413.2
XP_009114846.1 NP_188241.4
XP_009114847.1 NP_564412.1
XP_009114848.1 NP_174569.1
XP_009114852.1 NP_174563.2
XP_009114854.1 NP_174556.1
XP_009114857.1 NP_564409.1
XP_009114859.1 NP_174554.1
XP_009114862.1 NP_174553.1
XP_009114863.1 NP_001189610.1
XP_009114867.1 NP_564406.1
XP_009114873.1 NP_174533.1
XP_009114874.1 NP_174531.1
XP_009114876.1 NP_188239.1
XP_009114877.1 NP_174530.2
XP_009114878.1 NP_190721.3
XP_009114879.1 NP_563727.1
XP_009114880.1 NP_174525.1
XP_009114882.1 NP_564401.1
XP_009114885.2 NP_174523.2
XP_009114886.1 NP_001077643.1
XP_009114889.1 NP_001031127.1
XP_009114890.1 NP_174516.1
XP_009114892.1 NP_849740.1
XP_009114894.1 NP_174511.2
XP_009114895.1 NP_174510.1
XP_009114899.1 NP_174505.1
XP_009114900.1 NP_564392.1
XP_009114902.1 NP_564391.1
XP_009114904.1 NP_566538.1
XP_009114905.1 NP_564390.1
XP_009114906.1 NP_174500.1
XP_009114911.1 NP_174494.2
XP_009114913.1 NP_174492.2
XP_009114915.1 NP_199827.2
XP_009114919.1 NP_564388.1
XP_009114920.1 NP_174486.1
XP_009114923.1 NP_566536.1
XP_009114926.1 NP_001319134.1
XP_009114934.2 NP_188237.2
XP_009114935.1 NP_187691.1
XP_009114942.1 NP_001323364.1
XP_009114953.1 NP_174466.1
XP_009114957.1 NP_564385.1
XP_009114960.1 NP_174463.1
XP_009114964.2 NP_001321171.1
XP_009114966.1 NP_174458.2
XP_009114967.1 NP_564383.1
XP_009114968.1 NP_564382.1
XP_009114969.2 NP_174454.2
XP_009114973.1 NP_001320846.1
XP_009114985.1 NP_174432.2
XP_009114986.1 NP_564380.1
XP_009114987.1 NP_174430.1
XP_009114991.1 NP_564378.1
XP_009114992.1 NP_174418.1
XP_009115003.1 NP_174413.2
XP_009115005.1 NP_174409.1
XP_009115006.1 NP_174408.1
XP_009115007.1 NP_174407.1
XP_009115008.2 NP_564376.1
XP_009115012.1 NP_566161.1
XP_009115013.1 NP_001321341.1
XP_009115015.1 NP_001185120.1
XP_009115018.1 NP_001321890.1
XP_009115019.1 NP_174391.5
XP_009115022.1 NP_564371.1
XP_009115023.1 NP_564370.1
XP_009115024.1 NP_564369.1
XP_009115025.1 NP_174383.1
XP_009115026.1 NP_174375.1
XP_009115029.1 NP_174371.2
XP_009115032.1 NP_001185119.1
XP_009115033.1 NP_683335.2
XP_009115036.1 NP_564364.1
XP_009115042.1 NP_174368.1
XP_009115043.1 NP_001031120.1
XP_009115044.1 NP_001185118.1
XP_009115047.2 NP_188226.1
XP_009115050.1 NP_001320549.1
XP_009115053.1 NP_001322315.1
XP_009115054.1 NP_174360.1
XP_009115056.1 NP_174357.1
XP_009115060.1 NP_849735.1
XP_009115076.2 NP_195645.1
XP_009115084.1 NP_188220.1
XP_009115089.3 NP_001154205.1
XP_009115118.1 NP_174351.1
XP_009115120.1 NP_001319115.1
XP_009115123.1 NP_001185117.1
XP_009115124.1 NP_174348.1
XP_009115126.1 NP_174345.1
XP_009115127.1 NP_187469.4
XP_009115130.1 NP_187468.1
XP_009115132.1 NP_564358.1
XP_009115133.1 NP_001322322.1
XP_009115134.1 NP_564356.1
XP_009115136.1 NP_849734.1
XP_009115137.1 NP_849733.1
XP_009115139.1 NP_174337.1
XP_009115142.1 NP_001031117.1
XP_009115151.1 NP_188214.1
XP_009115162.1 NP_564354.1
XP_009115163.1 NP_188213.1
XP_009115164.2 NP_001031115.1
XP_009115165.2 NP_174323.1
XP_009115169.2 NP_174320.2
XP_009115171.2 NP_174319.1
XP_009115175.1 NP_566531.1
XP_009115178.1 NP_001077628.1
XP_009115179.1 NP_174314.2
XP_009115180.1 NP_564351.1
XP_009115183.1 NP_564350.1
XP_009115187.1 NP_001185114.1
XP_009115192.1 NP_564347.1
XP_009115194.1 NP_174300.2
XP_009115195.1 NP_564346.1
XP_009115196.1 NP_174297.1
XP_009115198.1 NP_174294.1
XP_009115199.1 NP_564345.1
XP_009115202.1 NP_564344.1
XP_009115205.1 NP_564338.1
XP_009115208.1 NP_188207.1
XP_009115210.1 NP_174279.1
XP_009115213.1 NP_174273.3
XP_009115214.1 NP_174274.2
XP_009115215.1 NP_001117383.1
XP_009115217.1 NP_174269.1
XP_009115220.2 NP_564335.3
XP_009115224.1 NP_174261.1
XP_009115230.1 NP_174252.2
XP_009115240.1 NP_001320501.1
XP_009115241.1 NP_174231.2
XP_009115242.1 NP_564327.1
XP_009115247.2 NP_001319562.1
XP_009115249.1 NP_174228.1
XP_009115261.1 NP_564324.1
XP_009115262.1 NP_001117377.1
XP_009115264.1 NP_174220.1
XP_009115268.1 NP_192045.2
XP_009115272.1 NP_001326287.1
XP_009115274.2 NP_174209.1
XP_009115293.1 NP_192535.1
XP_009115295.1 NP_001323408.1
XP_009115298.1 NP_001319561.1
XP_009115300.1 NP_173899.1
XP_009115301.2 NP_564228.1
XP_009115302.1 NP_564230.1
XP_009115303.1 NP_173906.2
XP_009115305.1 NP_188190.1
XP_009115306.1 NP_564232.1
XP_009115307.1 NP_001321077.1
XP_009115315.1 NP_001326186.1
XP_009115319.2 NP_001319080.1
XP_009115324.1 NP_173918.2
XP_009115330.1 NP_173919.1
XP_009115339.1 NP_173927.1
XP_009115340.1 NP_564237.2
XP_009115341.2 NP_564238.2
XP_009115342.1 NP_001322477.1
XP_009115347.1 NP_567961.1
XP_009115351.1 NP_564242.1
XP_009115354.2 NP_001185099.1
XP_009115356.1 NP_173958.1
XP_009115357.1 NP_173961.3
XP_009115361.1 NP_849708.1
XP_009115364.1 NP_564247.1
XP_009115365.1 NP_564248.1
XP_009115366.1 NP_001078161.1
XP_009115368.2 NP_173974.3
XP_009115374.1 NP_173979.1
XP_009115376.1 NP_001321647.1
XP_009115379.1 NP_566520.1
XP_009115384.1 NP_173983.1
XP_009115386.2 NP_173985.1
XP_009115388.1 NP_173986.2
XP_009115389.1 NP_564252.2
XP_009115395.1 NP_001323078.1
XP_009115397.1 NP_564256.1
XP_009115399.1 NP_001319086.1
XP_009115406.2 NP_173998.2
XP_009115409.3 NP_001117357.1
XP_009115410.1 NP_001077599.1
XP_009115413.1 NP_174001.2
XP_009115414.1 NP_173619.3
XP_009115415.1 NP_174005.1
XP_009115420.1 NP_564266.1
XP_009115422.1 NP_564267.1
XP_009115434.2 NP_174022.1
XP_009115435.1 NP_001185103.1
XP_009115436.1 NP_174029.1
XP_009115438.1 NP_174027.3
XP_009115440.1 NP_174026.1
XP_009115441.2 NP_174030.2
XP_009115443.1 NP_174033.1
XP_009115446.1 NP_188173.1
XP_009115448.2 NP_174037.3
XP_009115450.2 NP_174038.1
XP_009115452.2 NP_174039.1
XP_009115453.1 NP_567960.1
XP_009115454.1 NP_564272.1
XP_009115459.1 NP_564273.1
XP_009115463.1 NP_174043.1
XP_009115468.1 NP_001185079.1
XP_009115471.1 NP_173824.2
XP_009115472.1 NP_173823.1
XP_009115473.1 NP_173821.1
XP_009115474.1 NP_173822.2
XP_009115475.1 NP_173820.1
XP_009115476.1 NP_001185076.1
XP_009115477.1 NP_001319072.1
XP_009115480.1 NP_173814.2
XP_009115481.1 NP_001077592.1
XP_009115483.1 NP_001321714.1
XP_009115485.1 NP_173809.1
XP_009115487.1 NP_173800.2
XP_009115488.1 NP_973902.1
XP_009115490.1 NP_564209.1
XP_009115492.1 NP_564208.1
XP_009115494.1 NP_564207.1
XP_009115499.2 NP_173794.3
XP_009115500.1 NP_564204.1
XP_009115502.1 NP_564202.1
XP_009115505.1 NP_173786.1
XP_009115509.1 NP_564201.1
XP_009115511.1 NP_973899.1
XP_009115512.1 NP_173769.1
XP_009115513.2 NP_173768.2
XP_009115526.2 NP_173759.3
XP_009115528.1 NP_001320962.1
XP_009115531.1 NP_173754.2
XP_009115532.2 NP_564193.1
XP_009115534.1 NP_850951.2
XP_009115538.1 NP_173748.2
XP_009115540.1 NP_173747.1
XP_009115542.2 NP_173746.1
XP_009115545.2 NP_173743.1
XP_009115551.1 NP_173736.1
XP_009115552.1 NP_173735.1
XP_009115554.1 NP_173733.1
XP_009115555.2 NP_195146.1
XP_009115558.1 NP_001185070.1
XP_009115559.1 NP_173728.1
XP_009115560.1 NP_173727.1
XP_009115563.1 NP_173723.1
XP_009115566.1 NP_001321050.1
XP_009115567.2 NP_173716.1
XP_009115568.1 NP_173714.2
XP_009115569.1 NP_001323007.1
XP_009115570.1 NP_173712.1
XP_009115571.1 NP_173710.1
XP_009115573.1 NP_188154.1
XP_009115577.1 NP_173708.3
XP_009115578.1 NP_173707.2
XP_009115580.1 NP_173705.1
XP_009115581.1 NP_564184.1
XP_009115585.1 NP_564183.1
XP_009115586.1 NP_683323.2
XP_009115589.1 NP_001319063.1
XP_009115591.1 NP_173700.2
XP_009115594.1 NP_173697.1
XP_009115595.1 NP_001077582.1
XP_009115596.1 NP_173694.1
XP_009115600.2 NP_001031081.1
XP_009115601.1 NP_564180.1
XP_009115603.1 NP_173687.1
XP_009115605.1 NP_001077581.1
XP_009115606.1 NP_849699.1
XP_009115607.1 NP_564179.1
XP_009115610.1 NP_001185065.1
XP_009115613.1 NP_001322488.1
XP_009115614.1 NP_173681.1
XP_009115615.1 NP_001327625.1
XP_009115616.1 NP_564177.1
XP_009115624.1 NP_173671.1
XP_009115625.1 NP_173670.2
XP_009115658.1 NP_173609.1
XP_009115659.1 NP_566925.1
XP_009115662.1 NP_566926.1
XP_009115669.1 NP_001118805.1
XP_009115675.1 NP_190557.1
XP_009115678.1 NP_190559.1
XP_009115686.1 NP_190574.1
XP_009115694.1 NP_001030834.1
XP_009115695.1 NP_190591.1
XP_009115697.1 NP_190595.1
XP_009115705.1 NP_190603.1
XP_009115706.1 NP_001190046.1
XP_009115708.1 NP_001326662.1
XP_009115714.1 NP_201129.1
XP_009115717.2 NP_190616.1
XP_009115721.1 NP_190622.1
XP_009115723.1 NP_001327871.1
XP_009115729.1 NP_190633.1
XP_009115732.1 NP_190639.1
XP_009115735.1 NP_189791.1
XP_009115752.2 NP_001326763.1
XP_009115753.1 NP_001326079.1
XP_009115754.2 NP_190649.1
XP_009115762.1 NP_001078267.1
XP_009115765.1 NP_190657.1
XP_009115770.1 NP_566941.1
XP_009115772.1 NP_190662.2
XP_009115773.1 NP_190663.2
XP_009115776.1 NP_190664.1
XP_009115778.1 NP_190667.2
XP_009115779.1 NP_190668.2
XP_009115780.1 NP_190669.1
XP_009115782.1 NP_566942.1
XP_009115783.1 NP_190671.1
XP_009115784.1 NP_190672.1
XP_009115788.2 NP_001319721.1
XP_009115795.1 NP_566947.1
XP_009115798.1 NP_190690.1
XP_009115799.1 NP_190692.1
XP_009115801.1 NP_190693.1
XP_009115808.1 NP_001327368.1
XP_009115810.1 NP_190699.3
XP_009115811.1 NP_190700.2
XP_009115812.1 NP_974410.1
XP_009115814.1 NP_001327003.1
XP_009115817.1 NP_001327130.1
XP_009115818.1 NP_190706.1
XP_009115820.1 NP_566950.1
XP_009115821.1 NP_001326942.1
XP_009115824.1 NP_201538.1
XP_009115830.1 NP_179024.1
XP_009115831.1 NP_566951.1
XP_009115833.1 NP_190715.1
XP_009115839.2 NP_190722.1
XP_009115840.1 NP_190723.1
XP_009115842.1 NP_190724.1
XP_009115843.1 NP_001327255.1
XP_009115846.1 NP_190728.1
XP_009115849.1 NP_001190056.1
XP_009115850.1 NP_001319725.1
XP_009115856.1 NP_190735.1
XP_009115858.3 NP_190738.1
XP_009115859.2 NP_190740.1
XP_009115870.1 NP_191825.2
XP_009115871.1 NP_001319821.1
XP_009115877.1 NP_198716.1
XP_009115878.1 NP_001118821.1
XP_009115879.2 NP_001030839.5
XP_009115880.2 NP_190746.2
XP_009115881.1 NP_190747.1
XP_009115882.1 NP_001190060.1
XP_009115886.1 NP_190752.1
XP_009115890.1 NP_001326166.1
XP_009115896.1 NP_190761.1
XP_009115897.1 NP_001327607.1
XP_009115901.1 NP_190766.1
XP_009115902.1 NP_190765.1
XP_009115903.1 NP_190767.1
XP_009115904.1 NP_190772.1
XP_009115905.1 NP_190773.2
XP_009115907.1 NP_001327828.1
XP_009115909.2 NP_188801.2
XP_009115911.1 NP_190775.1
XP_009115912.1 NP_190777.1
XP_009115913.1 NP_001327260.1
XP_009115914.1 NP_190779.3
XP_009115918.1 NP_001327196.1
XP_009115920.1 NP_001030841.1
XP_009115923.2 NP_566960.1
XP_009115927.2 NP_566961.1
XP_009115929.1 NP_566962.1
XP_009115930.1 NP_001030844.1
XP_009115931.1 NP_566963.1
XP_009115933.2 NP_190792.2
XP_009115935.2 NP_001327905.1
XP_009115942.1 NP_190811.1
XP_009115945.1 NP_190813.1
XP_009115946.1 NP_190814.1
XP_009115948.1 NP_190816.1
XP_009115952.2 NP_190823.1
XP_009115953.1 NP_850684.1
XP_009115954.1 NP_566968.1
XP_009115955.1 NP_190825.2
XP_009115957.1 NP_565836.1
XP_009115959.1 NP_566970.1
XP_009115960.1 NP_190830.1
XP_009115963.1 NP_001030849.1
XP_009115966.1 NP_567152.1
XP_009115968.1 NP_001319732.1
XP_009115970.1 NP_566972.1
XP_009115972.1 NP_001327516.1
XP_009115979.1 NP_190846.1
XP_009115982.1 NP_190850.2
XP_009115983.1 NP_190854.1
XP_009115984.1 NP_190853.1
XP_009115985.1 NP_190856.1
XP_009115987.1 NP_190858.1
XP_009115989.2 NP_190859.2
XP_009115993.2 NP_190861.1
XP_009115999.1 NP_190869.3
XP_009116001.1 NP_190868.1
XP_009116006.1 NP_566977.1
XP_009116009.2 NP_190884.1
XP_009116010.1 NP_001319735.1
XP_009116013.1 NP_566980.1
XP_009116018.1 NP_680126.1
XP_009116020.2 NP_190894.1
XP_009116022.1 NP_190898.1
XP_009116026.1 NP_190900.1
XP_009116030.1 NP_001319736.1
XP_009116034.1 NP_001030851.1
XP_009116038.1 NP_001190078.1
XP_009116039.1 NP_850693.1
XP_009116044.1 NP_850694.2
XP_009116052.1 NP_001030853.1
XP_009116057.1 NP_001078278.1
XP_009116059.2 NP_190930.1
XP_009116061.1 NP_181283.1
XP_009116074.1 NP_190944.2
XP_009116075.1 NP_850698.1
XP_009116077.1 NP_190948.1
XP_009116078.1 NP_190949.1
XP_009116084.1 NP_190956.1
XP_009116085.1 NP_190958.1
XP_009116095.1 NP_190976.1
XP_009116096.1 NP_190978.1
XP_009116097.1 NP_190977.1
XP_009116098.1 NP_190980.1
XP_009116099.1 NP_190979.1
XP_009116100.1 NP_001031625.1
XP_009116101.1 NP_190981.1
XP_009116106.1 NP_566994.1
XP_009116107.2 NP_190988.1
XP_009116109.1 NP_190990.1
XP_009116110.1 NP_190995.2
XP_009116113.1 NP_001325864.1
XP_009116116.1 NP_190996.3
