XP_018432515.1 NP_201156.1
XP_018447071.1 NP_564291.1
XP_018447072.1 NP_171790.1
XP_018447073.1 NP_193052.1
XP_018447074.1 NP_567771.1
XP_018447076.1 NP_194336.1
XP_018447077.1 NP_174334.2
XP_018447079.1 NP_567434.1
XP_018447086.1 NP_680721.2
XP_018447087.1 NP_001319186.1
XP_018447089.1 NP_193842.1
XP_018447090.1 NP_172094.1
XP_018447091.1 NP_567521.1
XP_018447093.1 NP_172092.1
XP_018447095.1 NP_563708.1
XP_018447098.1 NP_180895.1
XP_018447104.1 NP_175325.2
XP_018447107.1 NP_564059.1
XP_018447110.1 NP_172317.1
XP_018447112.1 NP_567433.1
XP_018447113.1 NP_174594.1
XP_018447116.1 NP_564353.1
XP_018447119.1 NP_171853.1
XP_018447121.1 NP_001154664.1
XP_018447122.1 NP_175266.1
XP_018447123.1 NP_200601.3
XP_018447125.1 NP_193746.3
XP_018447127.1 NP_001330406.1
XP_018447131.1 NP_175381.1
XP_018447132.1 NP_171744.1
XP_018447141.1 NP_567854.1
XP_018447142.1 NP_193095.2
XP_018447143.1 NP_193094.1
XP_018447144.1 NP_001328886.1
XP_018447147.1 NP_194090.2
XP_018447149.1 NP_196234.3
XP_018447151.1 NP_193469.2
XP_018447152.1 NP_193405.1
XP_018447154.1 NP_173922.1
XP_018447159.1 NP_172114.2
XP_018447160.1 NP_563764.1
XP_018447161.1 NP_176809.1
XP_018447162.1 NP_563816.1
XP_018447163.1 NP_172903.1
XP_018447164.1 NP_564452.1
XP_018447165.1 NP_001321421.1
XP_018447167.1 NP_001320799.1
XP_018447169.1 NP_172300.2
XP_018447176.1 NP_174346.1
XP_018447177.1 NP_175776.2
XP_018447179.1 NP_172264.1
XP_018447180.1 NP_849348.1
XP_018447187.1 NP_567597.2
XP_018447189.1 NP_001330867.1
XP_018447192.1 NP_001318917.1
XP_018447194.1 NP_001077628.1
XP_018447196.1 NP_001190771.2
XP_018447200.1 NP_001320199.1
XP_018447203.1 NP_175158.1
XP_018447204.1 NP_195394.4
XP_018447206.1 NP_172673.1
XP_018447209.1 NP_177266.1
XP_018447210.1 NP_175639.1
XP_018447211.1 NP_174161.1
XP_018447214.1 NP_564307.1
XP_018447218.1 NP_173169.2
XP_018447219.1 NP_178071.1
XP_018447220.1 NP_001322684.1
XP_018447221.1 NP_175159.1
XP_018447223.1 NP_174452.2
XP_018447224.1 NP_564419.1
XP_018447225.1 NP_174119.1
XP_018447227.1 NP_001320081.1
XP_018447228.1 NP_568064.1
XP_018447231.1 NP_568521.1
XP_018447234.1 NP_193558.3
XP_018447235.1 NP_563971.1
XP_018447236.1 NP_001330483.1
XP_018447240.1 NP_567819.1
XP_018447242.1 NP_563946.1
XP_018447244.1 NP_171893.1
XP_018447245.1 NP_174086.1
XP_018447249.1 NP_172059.1
XP_018447250.1 NP_172060.2
XP_018447251.1 NP_195464.2
XP_018447252.1 NP_173961.3
XP_018447256.1 NP_174855.2
XP_018447257.1 NP_174094.1
XP_018447263.1 NP_567627.1
XP_018447265.1 NP_195298.2
XP_018447271.1 NP_195575.1
XP_018447274.1 NP_563910.2
XP_018447276.1 NP_171882.1
XP_018447281.1 NP_194402.1
XP_018447286.1 NP_195819.1
XP_018447287.1 NP_564133.1
XP_018447288.1 NP_564132.2
XP_018447290.1 NP_001322475.1
XP_018447291.1 NP_175911.1
XP_018447292.1 NP_172143.3
XP_018447293.1 NP_195823.1
XP_018447295.1 NP_175413.1
XP_018447298.1 NP_001190754.1
XP_018447304.1 NP_200201.3
XP_018447306.1 NP_001322092.1
XP_018447307.1 NP_171892.2
XP_018447314.1 NP_001321950.1
XP_018447315.1 NP_001320160.1
XP_018447318.1 NP_195299.2
XP_018447319.1 NP_563963.1
XP_018447321.1 NP_175542.2
XP_018447324.1 NP_175775.2
XP_018447325.1 NP_173944.1
XP_018447326.1 NP_564647.1
XP_018447327.1 NP_001184910.1
XP_018447331.1 NP_173322.1
XP_018447332.1 NP_193140.1
XP_018447339.1 NP_564514.1
XP_018447340.1 NP_172576.1
XP_018447345.1 NP_171875.1
XP_018447346.1 NP_001321015.1
XP_018447347.1 NP_683275.2
XP_018447348.1 NP_196032.1
XP_018447349.1 NP_173228.1
XP_018447355.1 NP_563692.1
XP_018447360.1 NP_194639.1
XP_018447363.1 NP_173289.1
XP_018447365.1 NP_173485.1
XP_018447366.1 NP_564119.1
XP_018447368.1 NP_196028.2
XP_018447373.1 NP_195818.1
XP_018447375.1 NP_192191.1
XP_018447377.1 NP_565142.1
XP_018447378.1 NP_190640.1
XP_018447379.1 NP_173617.1
XP_018447381.1 NP_568529.1
XP_018447382.1 NP_001077688.1
XP_018447383.1 NP_001031797.4
XP_018447386.1 NP_175390.2
XP_018447387.1 NP_173924.1
XP_018447388.1 NP_001330066.1
XP_018447389.1 NP_195493.1
XP_018447390.1 NP_568801.2
XP_018447401.1 NP_177396.1
XP_018447404.1 NP_172764.1
XP_018447405.1 NP_195460.1
XP_018447406.1 NP_849705.1
XP_018447413.1 NP_197143.1
XP_018447414.1 NP_195584.2
XP_018447421.1 NP_173750.3
XP_018447422.1 NP_173749.1
XP_018447423.1 NP_001321355.1
XP_018447424.1 NP_190714.2
XP_018447425.1 NP_195386.1
XP_018447430.1 NP_001328219.1
XP_018447434.1 NP_194308.1
XP_018447441.1 NP_195506.1
XP_018447444.1 NP_001185037.1
XP_018447454.1 NP_563718.1
XP_018447458.1 NP_174433.2
XP_018447459.1 NP_174435.2
XP_018447462.1 NP_564298.1
XP_018447464.1 NP_194681.1
XP_018447467.1 NP_974926.1
XP_018447468.1 NP_564292.1
XP_018447469.1 NP_001031097.1
XP_018447472.1 NP_190196.1
XP_018447474.1 NP_194519.1
XP_018447476.1 NP_849993.5
XP_018447477.1 NP_850840.1
XP_018447479.1 NP_564296.1
XP_018447480.1 NP_564269.1
XP_018447481.1 NP_195683.1
XP_018447484.1 NP_195581.1
XP_018447486.1 NP_175257.1
XP_018447488.1 NP_001322051.1
XP_018447493.1 NP_171967.1
XP_018447494.1 NP_564091.1
XP_018447497.1 NP_564126.1
XP_018447498.1 NP_567618.1
XP_018447502.1 NP_001190879.1
XP_018447503.1 NP_001185009.1
XP_018447504.1 NP_001321591.1
XP_018447506.1 NP_001190967.1
XP_018447507.1 NP_172777.1
XP_018447511.1 NP_195217.1
XP_018447513.1 NP_564534.1
XP_018447515.1 NP_195268.2
XP_018447518.1 NP_194685.1
XP_018447520.1 NP_001031749.1
XP_018447522.1 NP_567668.1
XP_018447523.1 NP_001154394.1
XP_018447524.1 NP_563741.1
XP_018447526.1 NP_200005.1
XP_018447528.1 NP_200004.1
XP_018447529.1 NP_195185.1
XP_018447532.1 NP_175972.1
XP_018447534.1 NP_567669.1
XP_018447535.1 NP_171921.1
XP_018447536.1 NP_172796.1
XP_018447537.1 NP_175929.3
XP_018447539.1 NP_175276.3
XP_018447540.1 NP_174486.1
XP_018447541.1 NP_180427.1
XP_018447545.1 NP_194004.1
XP_018447548.1 NP_195218.1
XP_018447550.1 NP_175446.2
XP_018447551.1 NP_174499.1
XP_018447554.1 NP_001329044.1
XP_018447556.1 NP_200262.1
XP_018447557.1 NP_174485.1
XP_018447558.1 NP_171915.1
XP_018447561.1 NP_195511.1
XP_018447563.1 NP_567756.1
XP_018447568.1 NP_683304.1
XP_018447569.1 NP_175507.1
XP_018447571.1 NP_175549.1
XP_018447574.1 NP_171959.2
XP_018447576.1 NP_173339.1
XP_018447579.1 NP_001328745.1
XP_018447581.1 NP_001320317.1
XP_018447583.1 NP_001322355.1
XP_018447584.1 NP_973945.1
XP_018447586.1 NP_564916.2
XP_018447593.1 NP_193719.1
XP_018447600.1 NP_174032.2
XP_018447601.1 NP_172019.3
XP_018447603.1 NP_174429.1
XP_018447606.1 NP_195251.1
XP_018447609.1 NP_001319163.1
XP_018447612.1 NP_001190968.1
XP_018447615.1 NP_174776.1
XP_018447616.1 NP_174766.2
XP_018447619.1 NP_564299.1
XP_018447620.1 NP_193063.2
XP_018447624.1 NP_174296.1
XP_018447626.1 NP_001078479.1
XP_018447629.1 NP_974673.2
XP_018447631.1 NP_172192.1
XP_018447632.1 NP_563781.1
XP_018447636.1 NP_564420.1
XP_018447637.1 NP_173841.1
XP_018447638.1 NP_195417.1
XP_018447643.1 NP_563731.1
XP_018447645.1 NP_683414.1
XP_018447646.1 NP_001319181.1
XP_018447647.1 NP_175752.1
XP_018447648.1 NP_001031798.1
XP_018447649.1 NP_564632.1
XP_018447662.1 NP_176033.1
XP_018447669.1 NP_564565.1
XP_018447673.1 NP_174808.1
XP_018447675.1 NP_195463.1
XP_018447676.1 NP_174494.2
XP_018447677.1 NP_194748.1
XP_018447678.1 NP_171878.1
XP_018447679.1 NP_171877.1
XP_018447680.1 NP_171923.1
XP_018447681.1 NP_200876.1
XP_018447684.1 NP_564677.1
XP_018447685.1 NP_001319928.1
XP_018447689.1 NP_173393.5
XP_018447694.1 NP_001329081.1
XP_018447696.1 NP_001327972.1
XP_018447698.1 NP_193008.1
XP_018447699.1 NP_174224.2
XP_018447702.1 NP_173946.1
XP_018447704.1 NP_173431.1
XP_018447708.1 NP_173292.1
XP_018447711.1 NP_564223.1
XP_018447715.1 NP_173923.1
XP_018447716.1 NP_174051.1
XP_018447720.1 NP_566861.1
XP_018447721.1 NP_564013.1
XP_018447726.1 NP_174327.1
XP_018447728.1 NP_001330492.1
XP_018447729.1 NP_173725.1
XP_018447734.1 NP_564499.3
XP_018447738.1 NP_194528.1
XP_018447742.1 NP_564483.1
XP_018447745.1 NP_194573.1
XP_018447746.1 NP_201530.1
XP_018447748.1 NP_178132.1
XP_018447749.1 NP_193544.1
XP_018447750.1 NP_001323287.1
XP_018447751.1 NP_195577.2
XP_018447752.1 NP_563884.1
XP_018447754.1 NP_174190.2
XP_018447755.1 NP_172923.3
XP_018447757.1 NP_198389.2
XP_018447758.1 NP_198390.2
XP_018447760.1 NP_001320354.1
XP_018447762.1 NP_175203.2
XP_018447765.1 NP_190841.1
XP_018447768.1 NP_001117447.1
XP_018447770.1 NP_175980.1
XP_018447771.1 NP_177937.1
XP_018447772.1 NP_171763.1
XP_018447773.1 NP_171761.2
XP_018447776.1 NP_193718.1
XP_018447779.1 NP_567471.1
XP_018447781.1 NP_172908.1
XP_018447782.1 NP_565170.1
XP_018447784.1 NP_175077.1
XP_018447785.1 NP_175319.2
XP_018447787.1 NP_171789.1
XP_018447791.1 NP_175795.2
XP_018447792.1 NP_174087.1
XP_018447793.1 NP_177262.1
XP_018447796.1 NP_001322925.1
XP_018447797.1 NP_564544.1
XP_018447798.1 NP_001329853.1
XP_018447802.1 NP_001031789.1
XP_018447803.1 NP_567936.5
XP_018447808.1 NP_195009.1
XP_018447809.1 NP_195012.2
XP_018447810.1 NP_194699.1
XP_018447812.1 NP_175931.2
XP_018447814.1 NP_197437.1
XP_018447819.1 NP_175081.1
XP_018447821.1 NP_189265.1
XP_018447826.1 NP_195946.2
XP_018447827.1 NP_175552.2
XP_018447830.1 NP_001322003.1
XP_018447831.1 NP_172253.1
XP_018447832.1 NP_195190.1
XP_018447836.1 NP_195288.1
XP_018447837.1 NP_568713.1
XP_018447838.1 NP_567879.1
XP_018447839.1 NP_175725.1
XP_018447841.1 NP_198314.2
XP_018447842.1 NP_680196.1
XP_018447843.1 NP_564171.1
XP_018447845.1 NP_196824.1
XP_018447846.1 NP_001321310.1
XP_018447848.1 NP_001320352.1
XP_018447850.1 NP_564546.1
XP_018447851.1 NP_172585.1
XP_018447853.1 NP_564507.1
XP_018447855.1 NP_194464.3
XP_018447860.1 NP_563962.1
XP_018447866.1 NP_177867.1
XP_018447867.1 NP_564636.2
XP_018447873.1 NP_172785.1
XP_018447875.1 NP_174259.1
XP_018447876.1 NP_172767.1
XP_018447877.1 NP_199609.1
XP_018447878.1 NP_849653.1
XP_018447883.1 NP_001328041.1
XP_018447885.1 NP_568053.1
XP_018447886.1 NP_172411.1
XP_018447890.1 NP_192710.1
XP_018447891.1 NP_194304.1
XP_018447892.1 NP_001190421.1
XP_018447895.1 NP_001323167.1
XP_018447896.1 NP_001323168.1
XP_018447897.1 NP_194837.2
XP_018447906.1 NP_172893.1
XP_018447908.1 NP_174500.1
XP_018447911.1 NP_849704.1
XP_018447917.1 NP_001078385.1
XP_018447918.1 NP_194909.2
XP_018447921.1 NP_001322159.1
XP_018447928.1 NP_001154419.1
XP_018447933.1 NP_195468.1
XP_018447934.1 NP_001323068.1
XP_018447937.1 NP_193027.5
XP_018447939.1 NP_193149.2
XP_018447941.1 NP_567403.1
XP_018447943.1 NP_563704.1
XP_018447944.1 NP_194414.1
XP_018447950.1 NP_001328485.1
XP_018447952.1 NP_172670.2
XP_018447957.1 NP_001185326.1
XP_018447958.1 NP_199273.2
XP_018447959.1 NP_195221.1
XP_018447960.1 NP_564240.1
XP_018447962.1 NP_193917.2
XP_018447971.1 NP_849582.1
XP_018447976.1 NP_567882.1
XP_018447977.1 NP_564050.1
XP_018447982.1 NP_193141.2
XP_018447983.1 NP_001329428.1
XP_018447985.1 NP_174139.1
XP_018447987.1 NP_193689.1
XP_018447988.1 NP_193690.2
XP_018447989.1 NP_173427.1
XP_018447993.1 NP_195609.1
XP_018447995.1 NP_564475.1
XP_018447996.1 NP_195242.1
XP_018448000.1 NP_564289.1
XP_018448004.1 NP_001322969.1
XP_018448006.1 NP_001328537.1
XP_018448007.1 NP_192016.1
XP_018448009.1 NP_175424.1
XP_018448011.1 NP_567754.1
XP_018448012.1 NP_194401.1
XP_018448014.1 NP_172416.2
XP_018448019.1 NP_001332460.1
XP_018448020.1 NP_973929.2
XP_018448026.1 NP_193899.2
XP_018448031.1 NP_849425.1
XP_018448033.1 NP_001322245.1
XP_018448035.1 NP_173349.1
XP_018448036.1 NP_567909.1
XP_018448037.1 NP_564444.1
XP_018448039.1 NP_198644.1
XP_018448041.1 NP_567970.1
XP_018448042.1 NP_849580.1
XP_018448043.1 NP_175905.2
XP_018448049.1 NP_001320845.1
XP_018448054.1 NP_567617.1
XP_018448060.1 NP_849651.1
XP_018448064.1 NP_173447.1
XP_018448069.1 NP_173239.1
XP_018448071.1 NP_849712.1
XP_018448073.1 NP_193037.1
XP_018448075.1 NP_001190729.1
XP_018448077.1 NP_567941.1
XP_018448078.1 NP_001190537.1
XP_018448087.1 NP_194588.2
XP_018448091.1 NP_001184989.1
XP_018448093.1 NP_001331038.1
XP_018448094.1 NP_563789.1
XP_018448102.1 NP_564531.1
XP_018448104.1 NP_001078754.1
XP_018448105.1 NP_193329.1
XP_018448106.1 NP_195512.1
XP_018448108.1 NP_173907.1
XP_018448110.1 NP_001319948.1
XP_018448114.1 NP_564268.1
XP_018448118.1 NP_175400.1
XP_018448119.1 NP_001319245.1
XP_018448124.1 NP_001185118.1
XP_018448126.1 NP_174366.1
XP_018448127.1 NP_849681.1
XP_018448135.1 NP_173371.1
XP_018448136.1 NP_175268.1
XP_018448137.1 NP_195631.1
XP_018448139.1 NP_001328705.1
XP_018448140.1 NP_568077.1
XP_018448142.1 NP_564227.1
XP_018448143.1 NP_171929.1
XP_018448145.1 NP_174768.2
XP_018448146.1 NP_173937.2
XP_018448149.1 NP_001031023.1
XP_018448151.1 NP_194524.2
XP_018448152.1 NP_173258.2
XP_018448155.1 NP_173472.1
XP_018448157.1 NP_001322724.1
XP_018448159.1 NP_199030.1
XP_018448161.1 NP_001329848.1
XP_018448162.1 NP_175910.2
XP_018448166.1 NP_193058.2
XP_018448167.1 NP_196554.1
XP_018448171.1 NP_174365.1
XP_018448172.1 NP_172436.1
XP_018448174.1 NP_174669.1
XP_018448182.1 NP_564930.1
XP_018448188.1 NP_001117223.1
XP_018448191.1 NP_197632.1
XP_018448195.1 NP_172123.1
XP_018448199.1 NP_172178.1
XP_018448220.1 NP_193616.2
XP_018448223.1 NP_172634.1
XP_018448232.1 NP_172797.2
XP_018448241.1 NP_001319892.1
XP_018448243.1 NP_564019.1
XP_018448254.1 NP_173310.2
XP_018448256.1 NP_173314.1
XP_018448260.1 NP_565039.5
XP_018448264.1 NP_173392.1
XP_018448266.1 NP_001330235.1
XP_018448271.1 NP_178758.1
XP_018448278.1 NP_564154.1
XP_018448287.1 NP_001328228.1
XP_018448288.1 NP_173767.1
XP_018448303.1 NP_173939.1
XP_018448304.1 NP_173901.1
XP_018448305.1 NP_177658.1
XP_018448306.1 NP_001117349.4
XP_018448308.1 NP_175550.2
XP_018448318.1 NP_849719.1
XP_018448322.1 NP_568329.1
XP_018448344.1 NP_567739.1
XP_018448354.1 NP_001031813.1
XP_018448355.1 NP_001077669.1
XP_018448360.1 NP_568070.1
XP_018448366.1 NP_001320156.1
XP_018448373.1 NP_001328506.1
XP_018448374.1 NP_195486.1
XP_018448385.1 NP_194715.2
XP_018448390.1 NP_564589.1
XP_018448397.1 NP_195374.1
XP_018448404.1 NP_194273.2
XP_018448419.1 NP_001318781.1
XP_018448425.1 NP_195349.1
XP_018448428.1 NP_001031142.1
XP_018448434.1 NP_197792.1
XP_018448438.1 NP_001319652.1
XP_018448441.1 NP_001320113.1
XP_018448443.1 NP_001328582.1
XP_018448452.1 NP_850856.1
XP_018448459.1 NP_192138.1
XP_018448479.1 NP_194407.5
XP_018448481.1 NP_001320410.1
XP_018448485.1 NP_567757.1
XP_018448486.1 NP_001119023.1
XP_018448489.1 NP_193829.2
XP_018448496.1 NP_567236.1
XP_018448497.1 NP_001330731.1
XP_018448504.1 NP_565047.1
XP_018448508.1 NP_193753.1
XP_018448511.1 NP_193752.1
XP_018448513.1 NP_194864.2
XP_018448538.1 NP_567528.2
XP_018448540.1 NP_198103.1
XP_018448541.1 NP_197418.2
XP_018448544.1 NP_194756.1
XP_018448552.1 NP_001118988.1
XP_018448553.1 NP_001328819.1
XP_018448555.1 NP_974556.1
XP_018448556.1 NP_193300.2
XP_018448564.1 NP_001328179.1
XP_018448566.1 NP_193862.1
XP_018448567.1 NP_567445.1
XP_018448568.1 NP_193201.2
XP_018448617.1 NP_172609.1
XP_018448625.1 NP_198359.1
XP_018448627.1 NP_198367.2
XP_018448628.1 NP_190509.2
XP_018448629.1 NP_198388.1
XP_018448635.1 NP_196581.1
XP_018448644.1 NP_174902.1
XP_018448645.1 NP_194458.1
XP_018448651.1 NP_683343.1
XP_018448658.1 NP_174971.5
XP_018448664.1 NP_001327917.1
XP_018448671.1 NP_567524.1
XP_018448679.1 NP_176759.1
XP_018448684.1 NP_177550.1
XP_018448704.1 NP_001154660.1
XP_018448707.1 NP_174246.2
XP_018448710.1 NP_200202.1
XP_018448711.1 NP_567659.1
XP_018448717.1 NP_849312.1
XP_018448719.1 NP_001077854.1
XP_018448726.1 NP_178148.1
XP_018448763.1 NP_197429.1
XP_018448768.1 NP_190382.2
XP_018448770.1 NP_001117269.1
XP_018448784.1 NP_175279.1
XP_018448798.1 NP_194992.1
XP_018448800.1 NP_175358.1
XP_018448807.1 NP_175402.2
XP_018448816.1 NP_174245.1
XP_018448819.1 NP_196876.1
XP_018448825.1 NP_001031973.1
XP_018448843.1 NP_175511.1
XP_018448852.1 NP_001190916.1
XP_018448875.1 NP_194003.1
XP_018448879.1 NP_564842.1
XP_018448881.1 NP_564696.2
XP_018448886.1 NP_186851.1
XP_018448895.1 NP_567873.1
XP_018448901.1 NP_175966.1
XP_018448908.1 NP_001322195.1
XP_018448912.1 NP_001325713.1
XP_018448915.1 NP_001320043.1
XP_018448922.1 NP_567680.5
XP_018448927.1 NP_194029.1
XP_018448929.1 NP_194017.3
XP_018448937.1 NP_172664.1
XP_018448939.1 NP_001328989.1
XP_018448944.1 NP_001190802.1
XP_018448948.1 NP_567685.1
XP_018448950.1 NP_567684.1
XP_018448959.1 NP_175030.2
XP_018448961.1 NP_001318963.1
XP_018448971.1 NP_194347.4
XP_018448975.1 NP_172393.2
XP_018448980.1 NP_172401.2
XP_018448981.1 NP_172392.1
XP_018448983.1 NP_172400.2
XP_018448984.1 NP_001320068.1
XP_018448988.1 NP_563841.1
XP_018448993.1 NP_177358.2
XP_018449013.1 NP_568013.1
XP_018449018.1 NP_568010.1
XP_018449020.1 NP_568022.1
XP_018449022.1 NP_001190943.1
XP_018449023.1 NP_195420.2
XP_018449024.1 NP_194153.1
XP_018449029.1 NP_190651.1
XP_018449041.1 NP_194159.1
XP_018449042.1 NP_001328303.1
XP_018449048.1 NP_195334.1
XP_018449053.1 NP_196861.2
XP_018449057.1 NP_173097.2
XP_018449058.1 NP_001321282.1
XP_018449059.1 NP_001184922.1
XP_018449063.1 NP_001321475.1
XP_018449064.1 NP_001321589.1
XP_018449065.1 NP_194602.2
XP_018449067.1 NP_172142.2
XP_018449070.1 NP_001318934.1
XP_018449072.1 NP_172134.1
XP_018449074.1 NP_193431.2
XP_018449082.1 NP_193396.3
XP_018449083.1 NP_173610.1
XP_018449087.1 NP_001031867.1
XP_018449088.1 NP_001118995.1
XP_018449092.1 NP_567517.1
XP_018449094.1 NP_001319966.1
XP_018449095.1 NP_193413.2
XP_018449102.1 NP_001184967.1
XP_018449104.1 NP_172652.2
XP_018449116.1 NP_001184968.1
XP_018449118.1 NP_563893.1
XP_018449120.1 NP_001077518.1
XP_018449123.1 NP_001190938.1
XP_018449125.1 NP_172641.2
XP_018449127.1 NP_001329346.1
XP_018449130.1 NP_195308.1
XP_018449131.1 NP_001320148.1
XP_018449134.1 NP_195312.1
XP_018449136.1 NP_001323112.1
XP_018449137.1 NP_175569.1
XP_018449139.1 NP_564596.1
XP_018449141.1 NP_195558.1
XP_018449142.1 NP_175577.1
XP_018449143.1 NP_564593.1
XP_018449153.1 NP_173302.2
XP_018449154.1 NP_001328350.1
XP_018449171.1 NP_173298.1
XP_018449173.1 NP_174064.1
XP_018449177.1 NP_195348.2
XP_018449184.1 NP_173943.2
XP_018449185.1 NP_001077633.1
XP_018449187.1 NP_198315.2
XP_018449190.1 NP_171954.1
XP_018449192.1 NP_193012.2
XP_018449196.1 NP_567413.1
XP_018449200.1 NP_849384.1
XP_018449201.1 NP_173900.2
XP_018449203.1 NP_001185093.1
XP_018449206.1 NP_195541.2
XP_018449212.1 NP_563972.1
XP_018449216.1 NP_001154368.1
XP_018449218.1 NP_001319046.1
XP_018449219.1 NP_001117372.1
XP_018449220.1 NP_564308.1
XP_018449221.1 NP_001185107.1
XP_018449222.1 NP_196313.1
XP_018449225.1 NP_001322753.1
XP_018449229.1 NP_564022.1
XP_018449237.1 NP_174117.2
XP_018449240.1 NP_564501.1
XP_018449241.1 NP_001077684.1
XP_018449242.1 NP_567969.1
XP_018449246.1 NP_567580.1
XP_018449249.1 NP_567436.1
XP_018449250.1 NP_564277.1
XP_018449251.1 NP_194770.1
XP_018449260.1 NP_194751.1
XP_018449265.1 NP_567859.1
XP_018449266.1 NP_173083.3
XP_018449268.1 NP_567477.1
XP_018449269.1 NP_001322284.1
XP_018449271.1 NP_174144.1
XP_018449272.1 NP_564601.1
XP_018449273.1 NP_001320086.1
XP_018449278.1 NP_001322819.1
XP_018449279.1 NP_200208.1
XP_018449281.1 NP_567793.1
XP_018449283.1 NP_001031685.1
XP_018449284.1 NP_171930.1
XP_018449285.1 NP_563696.1
XP_018449286.1 NP_001118977.1
XP_018449289.1 NP_001077637.1
XP_018449291.1 NP_001078417.1
XP_018449293.1 NP_567419.1
XP_018449295.1 NP_568068.1
XP_018449296.1 NP_194086.4
XP_018449297.1 NP_175473.1
XP_018449298.1 NP_849640.1
XP_018449300.1 NP_200205.1
XP_018449302.1 NP_001328216.1
XP_018449312.1 NP_567459.5
XP_018449315.1 NP_683417.1
XP_018449318.1 NP_175222.1
XP_018449319.1 NP_849728.1
XP_018449320.1 NP_564336.1
XP_018449322.1 NP_564068.2
XP_018449325.1 NP_200002.3
XP_018449326.1 NP_195213.1
XP_018449328.1 NP_564218.1
XP_018449335.1 NP_193893.1
XP_018449344.1 NP_683313.2
XP_018449347.1 NP_172809.1
XP_018449348.1 NP_564266.1
XP_018449350.1 NP_563943.2
XP_018449357.1 NP_564372.3
XP_018449365.1 NP_173353.1
XP_018449366.1 NP_564557.1
XP_018449371.1 NP_175520.1
XP_018449373.1 NP_001322982.1
XP_018449374.1 NP_193506.2
XP_018449375.1 NP_172164.1
XP_018449381.1 NP_001078297.1
XP_018449383.1 NP_683415.2
XP_018449388.1 NP_564536.1
XP_018449390.1 NP_194791.1
XP_018449391.1 NP_195618.2
XP_018449393.1 NP_194941.1
XP_018449394.1 NP_001320162.1
XP_018449395.1 NP_565154.1
XP_018449398.1 NP_567804.1
XP_018449399.1 NP_172296.1
XP_018449401.1 NP_193026.1
XP_018449402.1 NP_172720.1
XP_018449404.1 NP_564175.2
XP_018449412.1 NP_001190747.1
XP_018449418.1 NP_001321400.1
XP_018449420.1 NP_172845.1
XP_018449421.1 NP_193501.2
XP_018449430.1 NP_172774.1
XP_018449439.1 NP_174268.7
XP_018449440.1 NP_174269.1
XP_018449442.1 NP_174271.1
XP_018449446.1 NP_193033.1
XP_018449449.1 NP_195729.1
XP_018449453.1 NP_195315.3
XP_018449454.1 NP_563699.1
XP_018449456.1 NP_171850.1
XP_018449458.1 NP_193184.1
XP_018449461.1 NP_001329225.1
XP_018449465.1 NP_172723.2
XP_018449469.1 NP_001328002.1
XP_018449475.1 NP_195496.1
XP_018449480.1 NP_175734.1
XP_018449481.1 NP_568722.1
XP_018449484.1 NP_199060.3
XP_018449488.1 NP_174031.2
XP_018449496.1 NP_564099.1
XP_018449497.1 NP_564096.1
XP_018449509.1 NP_173317.2
XP_018449510.1 NP_564064.1
XP_018449511.1 NP_564249.1
XP_018449513.1 NP_174472.2
XP_018449514.1 NP_001323363.1
XP_018449515.1 NP_194433.1
XP_018449518.1 NP_173609.1
XP_018449520.1 NP_849791.1
XP_018449521.1 NP_194784.1
XP_018449525.1 NP_564032.1
XP_018449528.1 NP_001321466.1
XP_018449529.1 NP_001323223.1
XP_018449531.1 NP_174019.2
XP_018449532.1 NP_193144.1
XP_018449533.1 NP_567866.1
XP_018449535.1 NP_197391.1
XP_018449537.1 NP_564243.1
XP_018449546.1 NP_194184.2
XP_018449547.1 NP_172754.1
XP_018449548.1 NP_193340.2
XP_018449550.1 NP_849780.1
XP_018449551.1 NP_174188.1
XP_018449554.1 NP_172255.1
XP_018449556.1 NP_198917.1
XP_018449558.1 NP_198405.1
XP_018449559.1 NP_173089.1
XP_018449561.1 NP_193280.5
XP_018449563.1 NP_195036.1
XP_018449566.1 NP_172690.1
XP_018449568.1 NP_974559.5
XP_018449569.1 NP_001322893.1
XP_018449573.1 NP_173264.1
XP_018449576.1 NP_171884.1
XP_018449578.1 NP_172447.1
XP_018449579.1 NP_174300.2
XP_018449583.1 NP_193772.1
XP_018449584.1 NP_001119069.1
XP_018449586.1 NP_200250.1
XP_018449587.1 NP_195457.1
XP_018449594.1 NP_001329759.1
XP_018449596.1 NP_195406.2
XP_018449611.1 NP_171778.1
XP_018449615.1 NP_563820.1
XP_018449618.1 NP_564241.1
XP_018449619.1 NP_001118897.1
XP_018449622.1 NP_001322920.1
XP_018449631.1 NP_974844.1
XP_018449637.1 NP_173854.1
XP_018449644.1 NP_198420.1
XP_018449651.1 NP_001328693.1
XP_018449652.1 NP_001328691.1
XP_018449663.1 NP_173330.1
XP_018449674.1 NP_172121.2
XP_018449681.1 NP_567784.1
XP_018449685.1 NP_199077.1
XP_018449691.1 NP_173372.1
XP_018449694.1 NP_172073.2
XP_018449695.1 NP_173476.1
XP_018449696.1 NP_001117328.1
XP_018449697.1 NP_568784.1
XP_018449698.1 NP_680774.1
XP_018449703.1 NP_001319106.1
XP_018449704.1 NP_200119.1
XP_018449705.1 NP_001031804.1
XP_018449712.1 NP_200094.1
XP_018449713.1 NP_173237.1
XP_018449717.1 NP_199075.1
