XM_018625787.1	gene-LOC108852278
XM_018620015.1	gene-LOC108846812
XM_018618281.1	gene-LOC108845007
XM_018618282.1	gene-LOC108845008
XM_018617116.1	gene-LOC108843952
XM_018617083.1	gene-LOC108843924
XR_001948604.1	gene-LOC108846149
XM_018619290.1	gene-LOC108846082
XM_018619291.1	gene-LOC108846082
XM_018617965.1	gene-LOC108844678
XM_018617964.1	gene-LOC108844678
XM_018617963.1	gene-LOC108844678
XM_018617966.1	gene-LOC108844678
XM_018619627.1	gene-LOC108846399
XM_018619626.1	gene-LOC108846399
XM_018618283.1	gene-LOC108845009
XM_018618284.1	gene-LOC108845010
Parent=gene-LOC108845012	gene-LOC108845012
Parent=gene-LOC108846559	gene-LOC108846559
Parent=gene-LOC108846906	gene-LOC108846906
XM_018617082.1	gene-LOC108843922
XM_018618285.1	gene-LOC108845013
XM_018619099.1	gene-LOC108845896
XM_018619098.1	gene-LOC108845896
XM_018619097.1	gene-LOC108845895
XM_018619096.1	gene-LOC108845894
XM_018618286.1	gene-LOC108845014
XM_018618288.1	gene-LOC108845015
XM_018619546.1	gene-LOC108846322
XM_018617984.1	gene-LOC108844696
XM_018617985.1	gene-LOC108844696
XM_018617001.1	gene-LOC108843865
XM_018617006.1	gene-LOC108843865
XM_018617003.1	gene-LOC108843865
XM_018617004.1	gene-LOC108843865
XM_018617002.1	gene-LOC108843865
XM_018618289.1	gene-LOC108845016
XM_018617583.1	gene-LOC108844338
XR_001948546.1	gene-LOC108845845
XR_001948549.1	gene-LOC108845845
XR_001948550.1	gene-LOC108845845
XR_001948548.1	gene-LOC108845845
XR_001948547.1	gene-LOC108845845
XR_001948551.1	gene-LOC108845846
Parent=gene-LOC108845017	gene-LOC108845017
XM_018617297.1	gene-LOC108844091
XM_018617296.1	gene-LOC108844091
XM_018617451.1	gene-LOC108844230
XR_001948595.1	gene-LOC108846040
XR_001948593.1	gene-LOC108846039
XR_001948594.1	gene-LOC108846039
XM_018617655.1	gene-LOC108844398
XM_018617656.1	gene-LOC108844398
XM_018618290.1	gene-LOC108845018
XM_018618291.1	gene-LOC108845019
XM_018619990.1	gene-LOC108846785
XR_001948568.1	gene-LOC108845944
XR_001948574.1	gene-LOC108845944
XR_001948570.1	gene-LOC108845944
XR_001948571.1	gene-LOC108845944
XR_001948569.1	gene-LOC108845944
XR_001948573.1	gene-LOC108845944
XR_001948572.1	gene-LOC108845944
XM_018619146.1	gene-LOC108845944
XM_018619147.1	gene-LOC108845944
XM_018618293.1	gene-LOC108845021
XM_018618294.1	gene-LOC108845022
XM_018621210.1	gene-LOC108847850
XM_018618295.1	gene-LOC108845023
XM_018620943.1	gene-LOC108847645
XM_018620945.1	gene-LOC108847645
XM_018620941.1	gene-LOC108847644
XM_018620942.1	gene-LOC108847644
Parent=gene-LOC108845024	gene-LOC108845024
XM_018618296.1	gene-LOC108845025
XM_018618297.1	gene-LOC108845026
XM_018621465.1	gene-LOC108848057
XM_018621464.1	gene-LOC108848057
XM_018619958.1	gene-LOC108846752
XM_018618028.1	gene-LOC108844734
XM_018621044.1	gene-LOC108847722
XM_018618298.1	gene-LOC108845027
TRNAL-UAA-3	gene-TRNAL-UAA
XM_018618299.1	gene-LOC108845029
XM_018619308.1	gene-LOC108846099
XM_018617969.1	gene-LOC108844682
XM_018617443.1	gene-LOC108844223
Parent=gene-LOC108844733	gene-LOC108844733
XM_018618027.1	gene-LOC108844732
XM_018618026.1	gene-LOC108844731
XM_018618300.1	gene-LOC108845030
XM_018618301.1	gene-LOC108845031
XM_018620939.1	gene-LOC108847641
XM_018621342.1	gene-LOC108847959
XM_018621343.1	gene-LOC108847960
XR_001948884.1	gene-LOC108847069
XR_001948883.1	gene-LOC108847069
XR_001948886.1	gene-LOC108847069
XR_001948887.1	gene-LOC108847069
XR_001948882.1	gene-LOC108847069
XR_001948885.1	gene-LOC108847069
XM_018620238.1	gene-LOC108847069
XM_018618302.1	gene-LOC108845032
XR_001948878.1	gene-LOC108847065
XR_001948877.1	gene-LOC108847065
XR_001948880.1	gene-LOC108847065
XR_001948881.1	gene-LOC108847065
XR_001948876.1	gene-LOC108847065
XR_001948879.1	gene-LOC108847065
XM_018620232.1	gene-LOC108847065
Parent=gene-LOC108847078	gene-LOC108847078
XM_018620740.1	gene-LOC108847493
XR_001948847.1	gene-LOC108846959
XM_018618303.1	gene-LOC108845034
XR_001948846.1	gene-LOC108846958
XM_018618304.1	gene-LOC108845035
XR_001948651.1	gene-LOC108846417
XR_001948352.1	gene-LOC108843909
XM_018617067.1	gene-LOC108843909
XM_018617068.1	gene-LOC108843909
XM_018617066.1	gene-LOC108843909
XM_018617069.1	gene-LOC108843910
XM_018617070.1	gene-LOC108843911
XM_018619434.1	gene-LOC108846209
XM_018619558.1	gene-LOC108846334
XM_018618305.1	gene-LOC108845036
XM_018621209.1	gene-LOC108847849
XM_018620426.1	gene-LOC108847237
XM_018620427.1	gene-LOC108847237
XM_018620424.1	gene-LOC108847237
XM_018620428.1	gene-LOC108847237
XM_018620429.1	gene-LOC108847237
XM_018620425.1	gene-LOC108847237
XR_001948607.1	gene-LOC108846164
XR_001948608.1	gene-LOC108846164
XM_018617513.1	gene-LOC108844286
XM_018617514.1	gene-LOC108844286
XM_018618307.1	gene-LOC108845037
XM_018618899.1	gene-LOC108845731
XM_018621126.1	gene-LOC108847791
XM_018618308.1	gene-LOC108845038
XM_018618309.1	gene-LOC108845039
Parent=gene-LOC108844589	gene-LOC108844589
XR_001948436.1	gene-LOC108844335
XR_001948438.1	gene-LOC108844335
XR_001948437.1	gene-LOC108844335
XM_018617577.1	gene-LOC108844335
XM_018618310.1	gene-LOC108845040
XM_018617172.1	gene-LOC108843991
XM_018619268.1	gene-LOC108846060
XM_018619784.1	gene-LOC108846560
XM_018619785.1	gene-LOC108846561
XM_018620032.1	gene-LOC108846833
XM_018618311.1	gene-LOC108845041
XM_018619931.1	gene-LOC108846728
XM_018619305.1	gene-LOC108846097
XM_018619663.1	gene-LOC108846435
XM_018617528.1	gene-LOC108844298
XM_018617529.1	gene-LOC108844298
XM_018617527.1	gene-LOC108844298
XM_018617727.1	gene-LOC108844467
XM_018617728.1	gene-LOC108844467
XM_018619912.1	gene-LOC108846709
XM_018617571.1	gene-LOC108844331
XM_018620038.1	gene-LOC108846842
XM_018621075.1	gene-LOC108847747
XM_018621074.1	gene-LOC108847746
XM_018618078.1	gene-LOC108844781
XM_018619166.1	gene-LOC108845961
XM_018618312.1	gene-LOC108845043
XM_018618313.1	gene-LOC108845044
XM_018617506.1	gene-LOC108844281
XM_018618315.1	gene-LOC108845045
XM_018618316.1	gene-LOC108845046
XM_018619870.1	gene-LOC108846662
XM_018619869.1	gene-LOC108846662
XM_018619868.1	gene-LOC108846662
XM_018619836.1	gene-LOC108846621
XM_018618317.1	gene-LOC108845047
XM_018618318.1	gene-LOC108845048
XM_018618319.1	gene-LOC108845050
XM_018619202.1	gene-LOC108845996
XM_018617047.1	gene-LOC108843895
XM_018619348.1	gene-LOC108846131
XM_018620346.1	gene-LOC108847159
XM_018620347.1	gene-LOC108847159
XM_018618320.1	gene-LOC108845051
XM_018618322.1	gene-LOC108845052
XM_018618323.1	gene-LOC108845053
XM_018618324.1	gene-LOC108845054
XM_018617623.1	gene-LOC108844375
XM_018617622.1	gene-LOC108844375
XM_018617624.1	gene-LOC108844375
XM_018617625.1	gene-LOC108844375
Parent=gene-LOC108845055	gene-LOC108845055
XM_018618176.1	gene-LOC108844890
XM_018618951.1	gene-LOC108845775
XM_018619915.1	gene-LOC108846711
XM_018619581.1	gene-LOC108846347
XM_018619233.1	gene-LOC108846023
XM_018619630.1	gene-LOC108846403
XM_018618325.1	gene-LOC108845056
XM_018618326.1	gene-LOC108845058
XM_018618014.1	gene-LOC108844722
XM_018617928.1	gene-LOC108844643
XM_018618327.1	gene-LOC108845059
XM_018621326.1	gene-LOC108847945
XM_018621078.1	gene-LOC108847750
XM_018617361.1	gene-LOC108844143
XM_018617901.1	gene-LOC108844619
XM_018620810.1	gene-LOC108847544
XR_001948971.1	gene-LOC108847545
XR_001948838.1	gene-LOC108846913
XM_018617310.1	gene-LOC108844101
XM_018618329.1	gene-LOC108845060
XM_018619679.1	gene-LOC108846450
XM_018619678.1	gene-LOC108846450
XM_018618330.1	gene-LOC108845061
XR_001948576.1	gene-LOC108845956
XR_001948575.1	gene-LOC108845956
XM_018619162.1	gene-LOC108845956
XM_018618331.1	gene-LOC108845063
XM_018619604.1	gene-LOC108846374
XM_018618332.1	gene-LOC108845064
XM_018618333.1	gene-LOC108845065
XM_018618334.1	gene-LOC108845066
XM_018618335.1	gene-LOC108845067
XM_018618336.1	gene-LOC108845068
XM_018618338.1	gene-LOC108845069
XM_018618339.1	gene-LOC108845070
XM_018620719.1	gene-LOC108847475
XM_018617794.1	gene-LOC108844528
XM_018618340.1	gene-LOC108845072
XR_001948599.1	gene-LOC108846070
XR_001948641.1	gene-LOC108846369
XR_001948642.1	gene-LOC108846369
XR_001948640.1	gene-LOC108846369
XM_018618342.1	gene-LOC108845073
XM_018620692.1	gene-LOC108847448
XM_018620690.1	gene-LOC108847447
XM_018620691.1	gene-LOC108847447
XM_018619866.1	gene-LOC108846660
XM_018618343.1	gene-LOC108845074
XM_018618862.1	gene-LOC108845701
Parent=gene-LOC108845075	gene-LOC108845075
XR_001948385.1	gene-LOC108844110
XM_018617323.1	gene-LOC108844110
XM_018618344.1	gene-LOC108845076
XM_018618345.1	gene-LOC108845078
XM_018621041.1	gene-LOC108847720
XM_018621040.1	gene-LOC108847719
XM_018619338.1	gene-LOC108846126
XM_018619336.1	gene-LOC108846126
XM_018619337.1	gene-LOC108846126
XM_018618347.1	gene-LOC108845079
XM_018618348.1	gene-LOC108845080
XM_018618349.1	gene-LOC108845081
XM_018619253.1	gene-LOC108846047
XM_018617327.1	gene-LOC108844112
XM_018617328.1	gene-LOC108844113
XM_018619134.1	gene-LOC108845933
XM_018619133.1	gene-LOC108845933
XM_018619135.1	gene-LOC108845933
XM_018619136.1	gene-LOC108845933
XM_018619137.1	gene-LOC108845933
XR_001948835.1	gene-LOC108846905
XR_001948581.1	gene-LOC108845967
XR_001948357.1	gene-LOC108844010
XR_001948360.1	gene-LOC108844010
XR_001948359.1	gene-LOC108844010
XR_001948358.1	gene-LOC108844010
XR_001948356.1	gene-LOC108844010
XM_018617196.1	gene-LOC108844010
TRNAL-UAA-4	gene-TRNAL-UAA
XM_018619832.1	gene-LOC108846617
XM_018619299.1	gene-LOC108846090
XM_018618350.1	gene-LOC108845082
XM_018619603.1	gene-LOC108846373
XM_018618351.1	gene-LOC108845083
XM_018617971.1	gene-LOC108844683
XM_018617972.1	gene-LOC108844683
XM_018620210.1	gene-LOC108847042
XR_001948562.1	gene-LOC108845902
XM_018619289.1	gene-LOC108846081
XM_018618352.1	gene-LOC108845085
XM_018618354.1	gene-LOC108845086
XR_001948470.1	gene-LOC108844524
XR_001948468.1	gene-LOC108844524
XR_001948471.1	gene-LOC108844524
XR_001948469.1	gene-LOC108844524
XM_018619767.1	gene-LOC108846541
XM_018619766.1	gene-LOC108846541
XM_018619768.1	gene-LOC108846541
XM_018618355.1	gene-LOC108845087
XM_018621439.1	gene-LOC108848036
XM_018618356.1	gene-LOC108845088
XM_018621449.1	gene-LOC108848046
XM_018618905.1	gene-LOC108845735
XR_001948592.1	gene-LOC108846028
XM_018619900.1	gene-LOC108846698
XM_018618357.1	gene-LOC108845090
XM_018619271.1	gene-LOC108846064
XM_018620285.1	gene-LOC108847102
XM_018620287.1	gene-LOC108847102
XM_018620286.1	gene-LOC108847102
XM_018620282.1	gene-LOC108847101
XM_018620284.1	gene-LOC108847101
XM_018620283.1	gene-LOC108847101
XM_018620281.1	gene-LOC108847101
XM_018620288.1	gene-LOC108847104
XM_018618173.1	gene-LOC108844887
XM_018618358.1	gene-LOC108845091
XM_018618359.1	gene-LOC108845092
XM_018618360.1	gene-LOC108845093
XM_018617445.1	gene-LOC108844224
XM_018617444.1	gene-LOC108844224
XM_018617242.1	gene-LOC108844046
XM_018617241.1	gene-LOC108844046
XM_018617244.1	gene-LOC108844047
XM_018619143.1	gene-LOC108845940
XM_018619142.1	gene-LOC108845940
XM_018619552.1	gene-LOC108846328
XM_018619551.1	gene-LOC108846328
XM_018618361.1	gene-LOC108845094
XM_018618362.1	gene-LOC108845096
XR_001948563.1	gene-LOC108845904
XM_018619487.1	gene-LOC108846261
XM_018618363.1	gene-LOC108845097
XM_018618364.1	gene-LOC108845098
XM_018618366.1	gene-LOC108845099
XM_018618367.1	gene-LOC108845100
XM_018618368.1	gene-LOC108845101
XM_018618369.1	gene-LOC108845102
Parent=gene-LOC108847861	gene-LOC108847861
XM_018621221.1	gene-LOC108847862
XR_001948688.1	gene-LOC108846646
XM_018619065.1	gene-LOC108845872
Parent=gene-LOC108846191	gene-LOC108846191
XM_018619367.1	gene-LOC108846145
XR_001948485.1	gene-LOC108844656
XR_001948486.1	gene-LOC108844656
XM_018617940.1	gene-LOC108844655
XM_018617939.1	gene-LOC108844655
XM_018618370.1	gene-LOC108845103
XM_018618371.1	gene-LOC108845104
XM_018619813.1	gene-LOC108846595
XM_018619042.1	gene-LOC108845851
XR_001948903.1	gene-LOC108847204
XR_001948902.1	gene-LOC108847204
Parent=gene-LOC108845106	gene-LOC108845106
XM_018618372.1	gene-LOC108845107
XM_018619725.1	gene-LOC108846494
XM_018619722.1	gene-LOC108846494
XM_018619723.1	gene-LOC108846494
XM_018619724.1	gene-LOC108846494
XR_001948591.1	gene-LOC108846027
XM_018619235.1	gene-LOC108846027
XM_018619236.1	gene-LOC108846027
XM_018621341.1	gene-LOC108847957
XM_018617182.1	gene-LOC108843999
XM_018617183.1	gene-LOC108843999
XM_018618374.1	gene-LOC108845108
XM_018618375.1	gene-LOC108845109
XR_001948588.1	gene-LOC108846015
XM_018618376.1	gene-LOC108845111
XM_018618377.1	gene-LOC108845112
XR_001948586.1	gene-LOC108846010
XM_018618379.1	gene-LOC108845114
Parent=gene-LOC108844649	gene-LOC108844649
XM_018619281.1	gene-LOC108846076
XM_018618380.1	gene-LOC108845115
XM_018618381.1	gene-LOC108845116
XR_001948647.1	gene-LOC108846390
XR_001948645.1	gene-LOC108846390
XR_001948644.1	gene-LOC108846390
XR_001948646.1	gene-LOC108846390
XM_018617756.1	gene-LOC108844488
XR_001948464.1	gene-LOC108844489
XM_018617995.1	gene-LOC108844705
XM_018617994.1	gene-LOC108844704
XM_018617993.1	gene-LOC108844704
XM_018621508.1	gene-LOC108848093
Parent=gene-LOC108846858	gene-LOC108846858
XM_018618382.1	gene-LOC108845118
XM_018618383.1	gene-LOC108845119
XM_018619563.1	gene-LOC108846336
XM_018619562.1	gene-LOC108846336
Parent=gene-LOC108845120	gene-LOC108845120
XM_018619560.1	gene-LOC108846335
XM_018619559.1	gene-LOC108846335
Parent=gene-LOC108845121	gene-LOC108845121
XM_018618385.1	gene-LOC108845122
XM_018617392.1	gene-LOC108844175
XM_018617393.1	gene-LOC108844175
XM_018617391.1	gene-LOC108844175
XM_018617916.1	gene-LOC108844632
XM_018618386.1	gene-LOC108845123
XM_018618387.1	gene-LOC108845124
XM_018618388.1	gene-LOC108845125
XR_001948973.1	gene-LOC108847547
XR_001948972.1	gene-LOC108847547
XM_018620811.1	gene-LOC108847546
XM_018620812.1	gene-LOC108847546
XM_018621514.1	gene-LOC108848098
XM_018618389.1	gene-LOC108845126
XM_018619937.1	gene-LOC108846734
XM_018619936.1	gene-LOC108846734
XM_018619935.1	gene-LOC108846734
XM_018618390.1	gene-LOC108845128
Parent=gene-LOC108845129	gene-LOC108845129
XM_018618392.1	gene-LOC108845130
XM_018619830.1	gene-LOC108846615
XM_018618393.1	gene-LOC108845131
XM_018619649.1	gene-LOC108846418
XR_001948667.1	gene-LOC108846524
XM_018618394.1	gene-LOC108845132
XM_018619894.1	gene-LOC108846690
XM_018618395.1	gene-LOC108845133
XM_018620214.1	gene-LOC108847045
XM_018620211.1	gene-LOC108847043
XM_018620213.1	gene-LOC108847044
XM_018620212.1	gene-LOC108847044
XM_018618396.1	gene-LOC108845135
XM_018620297.1	gene-LOC108847109
XM_018618397.1	gene-LOC108845136
XM_018618398.1	gene-LOC108845137
XM_018618002.1	gene-LOC108844710
XM_018618399.1	gene-LOC108845138
XR_001948491.1	gene-LOC108844709
XM_018618000.1	gene-LOC108844709
XM_018618001.1	gene-LOC108844709
XM_018619403.1	gene-LOC108846177
XM_018618400.1	gene-LOC108845139
XM_018618402.1	gene-LOC108845140
XR_001948616.1	gene-LOC108846220
XM_018619445.1	gene-LOC108846220
XR_001948617.1	gene-LOC108846222
XM_018619447.1	gene-LOC108846222
XM_018618403.1	gene-LOC108845141
XM_018620293.1	gene-LOC108847106
XM_018620295.1	gene-LOC108847106
XM_018620294.1	gene-LOC108847106
XM_018620296.1	gene-LOC108847106
XM_018620289.1	gene-LOC108847105
XM_018620291.1	gene-LOC108847105
XM_018620290.1	gene-LOC108847105
XM_018620292.1	gene-LOC108847105
XM_018619873.1	gene-LOC108846668
XM_018617959.1	gene-LOC108844674
XM_018619875.1	gene-LOC108846669
XM_018617968.1	gene-LOC108844681
XM_018619483.1	gene-LOC108846258
XM_018619484.1	gene-LOC108846258
XM_018620183.1	gene-LOC108847012
XR_001948654.1	gene-LOC108846463
XR_001948655.1	gene-LOC108846463
XM_018617975.1	gene-LOC108844687
XR_001948991.1	gene-LOC108847729
XR_001948992.1	gene-LOC108847729
XR_001948989.1	gene-LOC108847729
XR_001948986.1	gene-LOC108847729
XR_001948990.1	gene-LOC108847729
XR_001948987.1	gene-LOC108847729
XR_001948988.1	gene-LOC108847729
XM_018621053.1	gene-LOC108847729
XM_018618404.1	gene-LOC108845142
XM_018618405.1	gene-LOC108845144
XM_018619721.1	gene-LOC108846493
XM_018619720.1	gene-LOC108846493
Parent=gene-LOC108846556	gene-LOC108846556
XR_001948612.1	gene-LOC108846194
XM_018617373.1	gene-LOC108844157
XM_018619906.1	gene-LOC108846703
TRNAC-GCA-12	gene-TRNAC-GCA
XM_018619062.1	gene-LOC108845868
XM_018617180.1	gene-LOC108843997
XM_018619803.1	gene-LOC108846582
XM_018619801.1	gene-LOC108846582
XM_018619800.1	gene-LOC108846582
XM_018619949.1	gene-LOC108846744
XM_018618407.1	gene-LOC108845145
XM_018620094.1	gene-LOC108846912
XM_018620093.1	gene-LOC108846912
XM_018620095.1	gene-LOC108846912
XM_018620130.1	gene-LOC108846955
XM_018620132.1	gene-LOC108846955
XM_018620131.1	gene-LOC108846955
XR_001948860.1	gene-LOC108847018
XR_001948859.1	gene-LOC108847018
XR_001948857.1	gene-LOC108847018
XR_001948858.1	gene-LOC108847018
XR_001948638.1	gene-LOC108846363
XR_001948637.1	gene-LOC108846363
XR_001948636.1	gene-LOC108846363
XM_018618057.1	gene-LOC108844760
XM_018620983.1	gene-LOC108847669
XM_018620982.1	gene-LOC108847669
XM_018620981.1	gene-LOC108847669
XM_018617115.1	gene-LOC108843951
XM_018618408.1	gene-LOC108845146
XR_001948976.1	gene-LOC108847639
XM_018618409.1	gene-LOC108845147
XM_018620938.1	gene-LOC108847638
XM_018620937.1	gene-LOC108847637
XR_001948977.1	gene-LOC108847640
XM_018619727.1	gene-LOC108846498
XM_018619542.1	gene-LOC108846317
XM_018618072.1	gene-LOC108844772
XM_018618410.1	gene-LOC108845148
Parent=gene-LOC108845149	gene-LOC108845149
XM_018617158.1	gene-LOC108843978
XM_018617160.1	gene-LOC108843979
XR_001948589.1	gene-LOC108846018
XM_018619423.1	gene-LOC108846199
Parent=gene-LOC108845151	gene-LOC108845151
TRNAG-CCC-4	gene-TRNAG-CCC
XM_018621094.1	gene-LOC108847765
XM_018621095.1	gene-LOC108847766
XR_001948694.1	gene-LOC108846670
XM_018620049.1	gene-LOC108846864
XR_001948836.1	gene-LOC108846907
XM_018620576.1	gene-LOC108847355
XM_018620577.1	gene-LOC108847357
Parent=gene-LOC108847356	gene-LOC108847356
XM_018620578.1	gene-LOC108847358
XM_018618411.1	gene-LOC108845152
TRNAG-GCC-6	gene-TRNAG-GCC
XM_018620579.1	gene-LOC108847359
XR_001948705.1	gene-LOC108846737
XM_018617457.1	gene-LOC108844237
XM_018618413.1	gene-LOC108845153
Parent=gene-LOC108845154	gene-LOC108845154
XM_018619331.1	gene-LOC108846120
XM_018619006.1	gene-LOC108845823
XM_018619187.1	gene-LOC108845984
Parent=gene-LOC108845155	gene-LOC108845155
XM_018617598.1	gene-LOC108844354
XM_018618414.1	gene-LOC108845156
XM_018618415.1	gene-LOC108845157
XM_018618416.1	gene-LOC108845158
XM_018618417.1	gene-LOC108845159
XR_001948893.1	gene-LOC108847132
XM_018618418.1	gene-LOC108845161
XM_018618419.1	gene-LOC108845162
XM_018617584.1	gene-LOC108844339
XM_018619313.1	gene-LOC108846105
XM_018619314.1	gene-LOC108846105
XM_018619316.1	gene-LOC108846105
XM_018619315.1	gene-LOC108846105
XM_018619950.1	gene-LOC108846746
XM_018618421.1	gene-LOC108845163
XR_001948849.1	gene-LOC108846967
XM_018619085.1	gene-LOC108845887
XM_018618422.1	gene-LOC108845164
XM_018618045.1	gene-LOC108844750
XR_001948578.1	gene-LOC108845962
XR_001948577.1	gene-LOC108845962
XR_001948579.1	gene-LOC108845962
XR_001948580.1	gene-LOC108845962
XM_018618423.1	gene-LOC108845165
XM_018618424.1	gene-LOC108845166
XM_018618425.1	gene-LOC108845167
XM_018619303.1	gene-LOC108846095
XR_001948907.1	gene-LOC108847206
XM_018620393.1	gene-LOC108847206
XR_001949036.1	gene-LOC108848064
XR_001949038.1	gene-LOC108848064
XR_001949037.1	gene-LOC108848064
XM_018621472.1	gene-LOC108848064
XM_018618426.1	gene-LOC108845171
XM_018618427.1	gene-LOC108845172
XM_018618429.1	gene-LOC108845173
XM_018619964.1	gene-LOC108846757
XM_018619963.1	gene-LOC108846757
XM_018618430.1	gene-LOC108845174
XM_018618431.1	gene-LOC108845175
XM_018617355.1	gene-LOC108844137
XM_018617354.1	gene-LOC108844137
XM_018621302.1	gene-LOC108847927
XM_018618432.1	gene-LOC108845177
XM_018617925.1	gene-LOC108844642
XM_018617926.1	gene-LOC108844642
XR_001948685.1	gene-LOC108846637
XR_001948684.1	gene-LOC108846637
XR_001948686.1	gene-LOC108846637
XM_018618433.1	gene-LOC108845178
XM_018618434.1	gene-LOC108845179
XM_018618436.1	gene-LOC108845180
XM_018618437.1	gene-LOC108845181
XM_018618438.1	gene-LOC108845182
XM_018620775.1	gene-LOC108847518
XM_018620774.1	gene-LOC108847518
Parent=gene-LOC108844443	gene-LOC108844443
XM_018621106.1	gene-LOC108847775
XM_018618439.1	gene-LOC108845183
XM_018619880.1	gene-LOC108846674
XM_018617708.1	gene-LOC108844450
XM_018617710.1	gene-LOC108844451
XM_018618440.1	gene-LOC108845184
Parent=gene-LOC108845185	gene-LOC108845185
XM_018620329.1	gene-LOC108847141
Parent=gene-LOC108845186	gene-LOC108845186
XM_018619363.1	gene-LOC108846141
XM_018620120.1	gene-LOC108846938
XM_018618441.1	gene-LOC108845188
XM_018618442.1	gene-LOC108845189
XR_001948539.1	gene-LOC108845780
XR_001948536.1	gene-LOC108845780
XR_001948535.1	gene-LOC108845780
XR_001948537.1	gene-LOC108845780
XR_001948538.1	gene-LOC108845780
XR_001948540.1	gene-LOC108845780
XR_001948541.1	gene-LOC108845780
XR_001948533.1	gene-LOC108845780
XR_001948534.1	gene-LOC108845780
XR_001948542.1	gene-LOC108845780
XR_001948543.1	gene-LOC108845780
XM_018617596.1	gene-LOC108844352
XM_018617269.1	gene-LOC108844066
XM_018617270.1	gene-LOC108844066
XM_018617268.1	gene-LOC108844066
XM_018617562.1	gene-LOC108844325
XM_018620716.1	gene-LOC108847472
XM_018620717.1	gene-LOC108847473
XR_001948600.1	gene-LOC108846071
XM_018617458.1	gene-LOC108844238
XM_018619750.1	gene-LOC108846521
XM_018619751.1	gene-LOC108846521
Parent=gene-LOC108846112	gene-LOC108846112
XR_001948567.1	gene-LOC108845941
XM_018617805.1	gene-LOC108844539
XR_001948566.1	gene-LOC108845939
XM_018617800.1	gene-LOC108844535
XM_018617801.1	gene-LOC108844535
Parent=gene-LOC108845190	gene-LOC108845190
XM_018618444.1	gene-LOC108845191
XM_018619131.1	gene-LOC108845931
XM_018619835.1	gene-LOC108846620
XM_018619529.1	gene-LOC108846306
XM_018619531.1	gene-LOC108846306
XM_018619530.1	gene-LOC108846306
XM_018619528.1	gene-LOC108846305
XM_018619756.1	gene-LOC108846528
XM_018619748.1	gene-LOC108846520
XM_018618445.1	gene-LOC108845192
XR_001948601.1	gene-LOC108846087
XM_018619296.1	gene-LOC108846087
XM_018619297.1	gene-LOC108846088
XM_018619761.1	gene-LOC108846535
XM_018617802.1	gene-LOC108844536
TRNAE-CUC-11	gene-TRNAE-CUC
XM_018619513.1	gene-LOC108846289
Parent=gene-LOC108846290	gene-LOC108846290
XM_018620252.1	gene-LOC108847081
XM_018620251.1	gene-LOC108847080
XM_018620250.1	gene-LOC108847080
XM_018617836.1	gene-LOC108844560
XM_018617834.1	gene-LOC108844560
XM_018617835.1	gene-LOC108844560
XM_018620066.1	gene-LOC108846882
Parent=gene-LOC108844600	gene-LOC108844600
Parent=gene-LOC108846993	gene-LOC108846993
XM_018620165.1	gene-LOC108846992
XR_001948855.1	gene-LOC108846994
XR_001948853.1	gene-LOC108846994
XR_001948854.1	gene-LOC108846994
XR_001948852.1	gene-LOC108846994
XM_018620169.1	gene-LOC108846999
XM_018620167.1	gene-LOC108846996
XM_018620179.1	gene-LOC108847006
XM_018620177.1	gene-LOC108847004
XM_018620170.1	gene-LOC108847000
XM_018620168.1	gene-LOC108846998
XR_001948856.1	gene-LOC108847007
XM_018620173.1	gene-LOC108847001
XM_018620174.1	gene-LOC108847001
XM_018620172.1	gene-LOC108847001
XM_018620175.1	gene-LOC108847002
XM_018618446.1	gene-LOC108845193
XM_018620166.1	gene-LOC108846995
XM_018620178.1	gene-LOC108847005
XM_018620176.1	gene-LOC108847003
XM_018620180.1	gene-LOC108847008
XM_018617806.1	gene-LOC108844541
XM_018619879.1	gene-LOC108846673
XM_018619878.1	gene-LOC108846673
XM_018619877.1	gene-LOC108846673
XM_018618447.1	gene-LOC108845194
XM_018618448.1	gene-LOC108845196
XM_018620675.1	gene-LOC108847430
XM_018620676.1	gene-LOC108847431
XR_001948958.1	gene-LOC108847432
XR_001948960.1	gene-LOC108847433
XR_001948959.1	gene-LOC108847433
XM_018620677.1	gene-LOC108847435
XR_001948961.1	gene-LOC108847434
XR_001948962.1	gene-LOC108847436
XM_018619046.1	gene-LOC108845855
XM_018618450.1	gene-LOC108845198
XM_018618451.1	gene-LOC108845199
XM_018618452.1	gene-LOC108845200
XM_018617857.1	gene-LOC108844576
XM_018621077.1	gene-LOC108847749
XM_018621076.1	gene-LOC108847748
XM_018618453.1	gene-LOC108845201
XM_018621325.1	gene-LOC108847944
XM_018617284.1	gene-LOC108844082
XM_018619782.1	gene-LOC108846555
Parent=gene-LOC108846940	gene-LOC108846940
XM_018620905.1	gene-LOC108847618
XM_018620904.1	gene-LOC108847618
XM_018618454.1	gene-LOC108845202
XM_018620906.1	gene-LOC108847619
XM_018620907.1	gene-LOC108847620
XM_018618455.1	gene-LOC108845204
XM_018621116.1	gene-LOC108847783
XM_018621069.1	gene-LOC108847740
XM_018621070.1	gene-LOC108847741
XM_018621072.1	gene-LOC108847744
XM_018621071.1	gene-LOC108847742
XM_018618456.1	gene-LOC108845205
XM_018619675.1	gene-LOC108846446
XM_018619206.1	gene-LOC108846000
XM_018619301.1	gene-LOC108846092
XM_018621331.1	gene-LOC108847950
XM_018621332.1	gene-LOC108847950
